"properties/brand","properties/addr:street","properties/addr:state","properties/sport","properties/website","properties/name:de","properties/opening_hours"
"","Miles Road","pennsylvania","","http://www.greshfit.com/",,""
"Orangetheory Fitness","","","","https://www.orangetheory.com/en-us/locations/pennsylvania/west-chester/672-downingtown-pike",,""
"","Roosevelt Boulevard","","","https://www.crunch.com/locations/roosevelt",,"Mo-Th 05:00-23:00; Fr 05:00-21:00; Sa-Su 07:00-17:00"
"","","","","",,""
"Anytime Fitness","","","","",,""
"","","","yoga","https://www.ziayogawellness.com/",,""
"Pure Barre","","","","",,""
"","Tuckerton Road","NJ","yoga","http://onepoweryoga.net/",,""
"Orangetheory Fitness","","","","",,""
"","","","","",,""
