type,properties/@id,properties/building,properties/leisure,properties/name,geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,geometry/coordinates/0/5/0,geometry/coordinates/0/5/1,geometry/coordinates/0/6/0,geometry/coordinates/0/6/1,geometry/coordinates/0/7/0,geometry/coordinates/0/7/1,geometry/coordinates/0/8/0,geometry/coordinates/0/8/1,geometry/coordinates/0/9/0,geometry/coordinates/0/9/1,geometry/coordinates/0/10/0,geometry/coordinates/0/10/1,geometry/coordinates/0/11/0,geometry/coordinates/0/11/1,geometry/coordinates/0/12/0,geometry/coordinates/0/12/1,geometry/coordinates/0/13/0,geometry/coordinates/0/13/1,geometry/coordinates/0/14/0,geometry/coordinates/0/14/1,geometry/coordinates/0/15/0,geometry/coordinates/0/15/1,geometry/coordinates/0/16/0,geometry/coordinates/0/16/1,geometry/coordinates/0/17/0,geometry/coordinates/0/17/1,geometry/coordinates/0/18/0,geometry/coordinates/0/18/1,id,properties/alt_name,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,geometry/coordinates/0/19/0,geometry/coordinates/0/19/1,geometry/coordinates/0/20/0,geometry/coordinates/0/20/1,geometry/coordinates/0/21/0,geometry/coordinates/0/21/1,geometry/coordinates/0/22/0,geometry/coordinates/0/22/1,geometry/coordinates/0/23/0,geometry/coordinates/0/23/1,geometry/coordinates/0/24/0,geometry/coordinates/0/24/1,properties/phone,properties/website,properties/building:levels,properties/source:image,properties/sport,geometry/coordinates/0/25/0,geometry/coordinates/0/25/1,geometry/coordinates/0/26/0,geometry/coordinates/0/26/1,geometry/coordinates/0/27/0,geometry/coordinates/0/27/1,geometry/coordinates/0/28/0,geometry/coordinates/0/28/1,geometry/coordinates/0/29/0,geometry/coordinates/0/29/1,geometry/coordinates/0/30/0,geometry/coordinates/0/30/1,geometry/coordinates/0/31/0,geometry/coordinates/0/31/1,geometry/coordinates/0/32/0,geometry/coordinates/0/32/1,geometry/coordinates/0/33/0,geometry/coordinates/0/33/1,properties/opening_hours,properties/source,properties/smoking,properties/addr:country,properties/addr:unit,properties/indoor:level,properties/internet_access,properties/building:part,properties/construction,properties/construction:leisure,properties/description,properties/email,properties/operator,properties/ref:retrofitness,properties/opening_hours:covid19,geometry/coordinates/0/34/0,geometry/coordinates/0/34/1,geometry/coordinates/0/35/0,geometry/coordinates/0/35/1,geometry/coordinates/0/36/0,geometry/coordinates/0/36/1,geometry/coordinates/0/37/0,geometry/coordinates/0/37/1,geometry/coordinates/0/38/0,geometry/coordinates/0/38/1,geometry/coordinates/0/39/0,geometry/coordinates/0/39/1,geometry/coordinates/0/40/0,geometry/coordinates/0/40/1,geometry/coordinates/0/41/0,geometry/coordinates/0/41/1,geometry/coordinates/0/42/0,geometry/coordinates/0/42/1,geometry/coordinates/0/43/0,geometry/coordinates/0/43/1,geometry/coordinates/0/44/0,geometry/coordinates/0/44/1,geometry/coordinates/0/45/0,geometry/coordinates/0/45/1,geometry/coordinates/0/46/0,geometry/coordinates/0/46/1,geometry/coordinates/0/47/0,geometry/coordinates/0/47/1,geometry/coordinates/0/48/0,geometry/coordinates/0/48/1,geometry/coordinates/0/49/0,geometry/coordinates/0/49/1,geometry/coordinates/0/50/0,geometry/coordinates/0/50/1,geometry/coordinates/0/51/0,geometry/coordinates/0/51/1,geometry/coordinates/0/52/0,geometry/coordinates/0/52/1,geometry/coordinates/0/53/0,geometry/coordinates/0/53/1,geometry/coordinates/0/54/0,geometry/coordinates/0/54/1,geometry/coordinates/0/55/0,geometry/coordinates/0/55/1,geometry/coordinates/0/56/0,geometry/coordinates/0/56/1,geometry/coordinates/0/57/0,geometry/coordinates/0/57/1,geometry/coordinates/0/58/0,geometry/coordinates/0/58/1,geometry/coordinates/0/59/0,geometry/coordinates/0/59/1,properties/wheelchair,geometry/coordinates/0,geometry/coordinates/1,properties/fixme,properties/climbing,properties/wikidata,properties/amenity,properties/store,properties/branch,properties/level,properties/name:en
Feature,way/222036130,yes,fitness_centre,Club Pilates,Polygon,-75.2850792,40.0934836,-75.285157,40.0932517,-75.285055,40.0932331,-75.2849793,40.0934644,-75.2850792,40.0934836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way/222036130,,Conshohocken,22,19428,PA,East Ridge Pike,Club Pilates,Q109328844,,,,,,,,,,,,,,,,,,pilates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/286489346,commercial,fitness_centre,LA Fitness,Polygon,-75.1377984,40.1006083,-75.137962,40.1004421,-75.1380559,40.1003969,-75.1381042,40.1003067,-75.1383053,40.1001077,-75.1377796,40.0997999,-75.1372927,40.1002765,-75.1372807,40.1002882,-75.1377984,40.1006083,,,,,,,,,,,,,,,,,,,,,way/286489346,,,,,,,LA Fitness,Q6457180,en:LA Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/317869561,yes,fitness_centre,Phoenixville YMCA,Polygon,-75.5196614,40.1107504,-75.5194791,40.1108928,-75.5194478,40.1108694,-75.5197943,40.1105987,-75.5195204,40.1103936,-75.5192023,40.1106422,-75.5191837,40.1106284,-75.5191003,40.1106935,-75.5190767,40.1106758,-75.5189916,40.1107424,-75.5188989,40.1108147,-75.5189846,40.1108788,-75.518742,40.1110684,-75.5189355,40.1112132,-75.5188031,40.1113166,-75.5192463,40.1116483,-75.5193001,40.1116062,-75.5193566,40.1116485,-75.5195281,40.1115145,way/317869561,,,,,,,,,,-75.5194292,40.1114405,-75.5194829,40.1113986,-75.5195071,40.1114167,-75.5195585,40.1113766,-75.5196315,40.1114312,-75.5198789,40.1112379,,,,,multi,-75.5198301,40.1112014,-75.5198629,40.1111758,-75.5197459,40.1110882,-75.5199291,40.110945,-75.520027,40.1110183,-75.5200873,40.1109712,-75.5199386,40.1108599,-75.5198746,40.1109099,-75.5196614,40.1107504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/324146961,yes,fitness_centre,LA Fitness,Polygon,-75.6582484,40.2662419,-75.6584964,40.2656534,-75.6578079,40.2654844,-75.6576145,40.2659432,-75.6576728,40.2659576,-75.6576534,40.2659704,-75.6576382,40.2659918,-75.6576339,40.2660163,-75.6576378,40.2660392,-75.6576498,40.2660571,-75.6576688,40.2660749,-75.6576935,40.2660884,-75.6577223,40.2660934,-75.6577512,40.2660925,-75.657776,40.2660841,-75.6577601,40.2661221,-75.6582484,40.2662419,,,,,way/324146961,,Pottstown,120,19464,PA,Upland Square Drive,LA Fitness,Q6457180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/335145409,yes,fitness_centre,The Griffin Complex,Polygon,-75.2354857,40.1981027,-75.2352694,40.1979174,-75.2352834,40.1979078,-75.2351848,40.1978233,-75.2351662,40.197836,-75.2351476,40.1978487,-75.2351311,40.1978599,-75.2348791,40.1976442,-75.2347762,40.1977143,-75.2347613,40.1977016,-75.2347448,40.1976875,-75.2347153,40.1977076,-75.234601,40.1977057,-75.2344182,40.1978303,-75.2345666,40.1979574,-75.2346441,40.1979045,-75.234902,40.1981253,-75.2351475,40.1983368,-75.2354857,40.1981027,way/335145409,,Gwynedd Valley,400,19437,PA,University Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/337844917,commercial,fitness_centre,Planet Fitness,Polygon,-75.1217044,39.9758808,-75.1215695,39.9757954,-75.1215236,39.975838,-75.1211894,39.9756263,-75.1209494,39.9758489,-75.1214186,39.976146,-75.1217044,39.9758808,,,,,,,,,,,,,,,,,,,,,,,,,way/337844917,,Philadelphia,2641-63,19125,PA,East York Street,Planet Fitness,Q7201095,en:Planet Fitness,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/338884792,commercial,fitness_centre,Planet Fitness,Polygon,-75.2899705,39.9599718,-75.2897187,39.9602411,-75.2899922,39.9603915,-75.2902441,39.9601221,-75.2899705,39.9599718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way/338884792,,Drexel Hill,830,19026,PA,Lansdowne Avenue,Planet Fitness,Q7201095,en:Planet Fitness,,,,,,,,,,,,,,,,,fitness;exercise,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/344407419,yes,fitness_centre,LA Fitness,Polygon,-74.9035179,39.9700332,-74.903185,39.9698321,-74.9030989,39.9699119,-74.9030021,39.9700034,-74.9028155,39.9701756,-74.9029128,39.9702408,-74.9028285,39.970318,-74.9027607,39.9703213,-74.9027846,39.9704927,-74.9028465,39.9704912,-74.9028786,39.9707183,-74.9029312,39.9707495,-74.9036308,39.970108,-74.9035179,39.9700332,,,,,,,,,,,way/344407419,,,4300,,,,LA Fitness,Q6457180,en:LA Fitness,,,,,,,,,,,,,,,,,gymnastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/359112155,yes,fitness_centre,Walnut Street YMCA,Polygon,-75.5447069,39.7447629,-75.5449157,39.7444524,-75.5444482,39.7442666,-75.5442394,39.7445771,-75.5447069,39.7447629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way/359112155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/363537367,yes,fitness_centre,LA Fitness,Polygon,-74.8639478,40.192224,-74.8636412,40.1911455,-74.8631756,40.1912228,-74.8634821,40.1923012,-74.8639478,40.192224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way/363537367,,,,,,,LA Fitness,Q6457180,en:LA Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
